region,avg_tallest
"EASTERN EUROPE                     ",175.6154
"WESTERN EUROPE                     ",172.0500
"C.W. OF IND. STATES ",170.7000
"OCEANIA                            ",179.0000
"NORTHERN AMERICA                   ",178.3333
"LATIN AMER. & CARIB    ",173.7143
"ASIA (EX. NEAR EAST)         ",168.9000
"NEAR EAST                          ",165.6667
"BALTICS                            ",175.0000
"NORTHERN AFRICA                    ",170.0000
"SUB-SAHARAN AFRICA                 ",175.0000
