country_id,year,gdp,global_max_gdp
11,2005-01-01,692642000000,10284800409600
19,2013-01-01,520925000000,10284800409600
34,2015-01-01,1559620000000,10284800409600
40,2009-01-01,5109950000000,10284800409600
53,2010-01-01,321995000000,10284800409600
67,2005-01-01,2196130000000,10284800409600
71,2005-01-01,2861410000000,10284800409600
73,2001-01-01,1621510000000,10284800409600
91,2004-01-01,135445000000,10284800409600
94,2000-01-01,4887520000000,10284800409600
130,2016-01-01,777228000000,10284800409600
136,2014-01-01,499339000000,10284800409600
152,2000-01-01,259708000000,10284800409600
178,2000-01-01,259802000000,10284800409600
179,2002-01-01,301417000000,10284800409600
195,2000-01-01,10284800000000,10284800409600
